Video_ID,Title,Channel,Published_At,Views,Likes,Comments,Duration_Seconds,Engagement_Rate_%
-h40wqlP3ng,Join Indian Army by TGC✅✅#tgc #indianarmy #military #indianmilitary #lieutenant #army #defence,Vedantu JEE Made Ejee,2024-07-10T03:30:00Z,179127,5644,37,45,3.171492851440598
882DDLPdfPM,Indian Army Drone Test : 4 missiles  #MissileDrone #drone #indianarmy #army #defence #india,XiLiR Technologies,2025-05-29T16:16:32Z,96039,893,21,18,0.9516967065462989
UaYgOMo-hTs,India vs China | Military Power & Defense Budget 2025,The Comparison Zone,2025-06-22T03:31:17Z,1011767,3848,458,6,0.42559205825056556
wVbza85gZ2E,Power Of S-400 defence System 🔥🙏🙌 | Indian Army Status In Telugu Venu Kalyan #pahalgam #s400missile,Telugu Business Talks with Venu Kalyan,2025-05-15T12:31:13Z,4101822,194334,718,60,4.755252665766578
mU8maCdZt60,An Artillery Shell..💀🔥 #ytshorts #army #artillery #trending,Dark Horse,2025-08-14T10:01:21Z,12105622,223544,582,13,1.8514207696225768
ZjYFOj9mfVI,"India’s Most Dangerous Missiles 2025🔥| Agni-V, BrahMos-II All Categories Covered! #shorts #army",Defence Tech Elite,2025-08-13T12:30:15Z,974139,3935,26,6,0.40661548300601863
110Pkwk7wW8,Technical Army Work / Promotion and Rank  full Information ll Technical Army Ki poori जानकारी,Army Officials,2025-01-14T02:23:42Z,35572,712,94,212,2.2658270549870685
C3PeoDHkR_o,Indian Army’s Game-Changing Tech in Operation Sindoor! | Curly Tales #shorts,Curly Tales ,2025-06-22T11:56:27Z,51851,3409,32,61,6.636323311025824
0cPKVFxBTtM,Indian Army vs Chinese Army: Real Comparison!,ITS~SCROLLING*,2025-07-15T15:45:00Z,213846,3282,116,16,1.58899394891651
cVUF9AP3w2A,Indian Armed Forces Female Officers ll Indian Army Edits #army #indianarmy #women #womenempowerment,Defence Editzz ,2025-04-20T06:15:58Z,337904,8893,27,18,2.639803020976372
_vplhsU1VGk,"Indian Army Safety Project, Missile Launcher #shorts #science #technology #trending",VMK Technical Power,2023-08-07T01:30:18Z,225037,4990,23,15,2.2276336780173924
kdGa09Wu7Os,Join Indian Army Common Entrance Exam CEE Recruitment 2025 Apply Online FormIndian Army recruitment,India Buzz TV,2025-03-18T04:39:49Z,1913560,6884,33,6,0.3614728568740985
SKYcxvNMhao,5 ways to join Indian Armed Forces. #shorts #indianarmy #indiannavy,Ritik Meghwani,2025-02-26T13:50:35Z,1984716,111325,512,59,5.634911997484779
6JnnPiMgyqg,Indian Army 122 mm 'Upgraded' Grad Multi Barrel Rocket Launcher Firing at Devlali Range,Delhi Defence Review,2020-01-16T14:38:25Z,2993537,9158,206,20,0.3128072243636875
